datetime;water_level;error
2008-07-18 12:15:11;7.590;0.001
2008-07-28 10:13:43;7.873;0.012
2008-08-17 06:10:46;8.379;0.012
2008-09-16 00:06:22;8.887;0.008
2008-09-25 22:04:53;8.669;0.000
2008-10-05 20:03:25;8.533;0.000
2008-10-15 18:01:57;8.506;0.000
2008-10-25 16:00:29;7.969;0.000
2008-11-04 13:59:00;7.702;0.002
2008-11-14 11:57:32;7.084;0.006
2008-11-24 09:56:03;6.478;0.000
2008-12-04 07:54:34;5.743;0.043
2008-12-14 05:53:05;5.052;0.018
2008-12-24 03:51:37;4.758;0.023
2009-01-03 01:50:08;4.562;0.006
2009-01-12 23:48:40;4.422;0.020
2009-01-22 21:47:12;4.300;0.004
2009-02-01 19:45:45;4.223;0.015
2009-03-03 13:41:20;3.492;0.019
2009-03-13 11:39:51;3.691;0.037
2009-03-23 09:38:22;3.922;0.011
2009-04-02 07:36:54;4.058;0.032
2009-04-12 05:35:25;4.491;0.001
2009-04-22 03:33:56;4.630;0.097
2009-05-02 01:32:26;5.361;0.026
2009-05-11 23:30:58;5.406;0.009
2009-05-21 21:29:30;5.822;0.012
2009-05-31 19:28:02;6.429;0.012
2009-06-10 17:26:34;6.893;0.047
2009-06-20 15:25:06;7.247;0.010
2009-06-30 13:23:37;7.321;0.037
2009-07-10 11:22:09;7.561;0.020
2009-07-20 09:20:40;7.580;0.002
2009-07-30 07:19:12;7.695;0.000
2009-08-09 05:17:43;7.989;0.001
2009-08-19 03:16:14;8.235;0.032
2009-08-29 01:14:46;8.395;0.018
2009-09-07 23:13:18;8.427;0.001
2009-09-17 21:11:50;8.432;0.000
2009-09-27 19:10:22;8.621;0.000
2009-10-07 17:08:53;8.320;0.009
2009-10-17 15:07:25;8.077;0.000
2009-10-27 13:05:56;7.701;0.001
2009-11-16 09:02:59;6.680;0.002
2009-11-26 07:01:30;5.975;0.009
2009-12-06 05:00:01;5.903;0.015
2009-12-16 02:58:32;5.156;0.004
2009-12-26 00:57:04;4.702;0.027
2010-01-04 22:55:36;4.441;0.003
2010-01-14 20:54:09;4.295;0.072
2010-02-23 12:48:16;3.941;0.020
