datetime;water_level;error
1992-09-26 19:10:13;1787.058;0.036
1992-10-06 17:08:41;1787.303;0.001
1992-10-26 13:05:43;1787.353;0.002
1992-11-05 11:04:15;1787.287;0.002
1992-11-15 09:02:47;1787.195;0.000
1992-11-25 07:01:19;1787.184;0.002
1992-12-25 00:56:54;1786.809;0.022
1993-01-13 20:53:57;1786.727;0.001
1993-01-23 18:52:28;1786.637;0.004
1993-02-02 16:51:00;1786.608;0.003
1993-02-12 14:49:31;1786.636;0.001
1993-02-22 12:48:02;1786.547;0.000
1993-03-04 10:46:34;1786.523;0.001
1993-03-14 08:45:05;1786.378;0.003
1993-03-24 06:43:36;1786.241;0.002
1993-04-03 04:42:08;1786.312;0.010
1993-04-13 02:40:40;1786.237;0.000
1993-04-23 00:39:11;1786.137;0.001
1993-05-02 22:37:44;1786.199;0.001
1993-06-01 16:33:18;1786.062;0.001
1993-06-11 14:31:49;1786.103;0.002
1993-06-21 12:30:21;1786.052;0.002
1993-07-01 10:28:51;1786.186;0.007
1993-07-11 08:27:22;1786.258;0.006
1993-07-21 06:25:53;1786.446;0.010
1993-07-31 04:24:24;1786.779;0.000
1993-08-10 02:22:55;1787.038;0.009
1993-08-20 00:21:26;1787.053;0.000
1993-09-08 20:18:30;1787.314;0.009
1993-09-18 18:17:02;1787.503;0.001
1993-09-28 16:15:33;1787.420;0.004
1993-10-08 14:14:04;1787.525;0.004
1993-10-18 12:12:36;1787.457;0.001
1993-11-07 08:09:39;1787.211;0.005
1993-11-17 06:08:11;1787.202;0.000
1993-11-27 04:06:43;1787.082;0.002
1993-12-17 00:03:45;1786.785;0.000
1993-12-26 22:02:16;1786.876;0.003
1994-01-15 17:59:18;1786.739;0.000
1994-01-25 15:57:48;1786.668;0.002
1994-02-04 13:56:19;1786.657;0.002
1994-02-14 11:54:51;1786.713;0.000
1994-02-24 09:53:23;1786.453;0.000
1994-03-06 07:51:55;1786.423;0.005
1994-03-26 03:48:59;1786.306;0.003
1994-04-14 23:46:01;1786.090;0.003
1994-05-04 19:43:04;1785.916;0.012
1994-05-14 17:41:35;1786.084;0.002
1994-05-24 15:40:06;1785.904;0.001
1994-06-03 13:38:38;1785.938;0.003
1994-06-13 11:37:10;1786.032;0.003
1994-07-03 07:34:13;1786.245;0.000
1994-07-13 05:32:45;1786.307;0.001
1994-07-23 03:31:16;1786.543;0.007
1994-08-11 23:28:18;1787.247;0.007
1994-08-21 21:26:49;1787.550;0.012
1994-08-31 19:25:21;1787.773;0.001
1994-09-10 17:23:51;1787.782;0.004
1994-09-20 15:22:22;1787.701;0.003
1994-10-10 11:19:25;1787.682;0.002
1994-10-20 09:17:57;1787.490;0.000
1994-10-30 07:16:29;1787.370;0.000
1994-11-19 03:13:33;1787.010;0.000
1994-12-08 23:10:37;1786.846;0.001
1994-12-18 21:09:08;1786.846;0.001
1994-12-28 19:07:40;1786.616;0.002
1995-01-27 13:03:14;1786.653;0.004
1995-02-06 11:01:46;1786.651;0.001
1995-02-16 09:00:17;1786.480;0.004
1995-02-26 06:58:49;1786.669;0.001
1995-03-08 04:57:21;1786.450;0.005
1995-03-28 00:54:23;1786.268;0.001
1995-04-26 18:49:57;1786.264;0.000
1995-05-06 16:48:28;1786.305;0.022
1995-05-16 14:46:58;1786.104;0.006
1995-05-26 12:45:30;1786.089;0.001
1995-06-05 10:44:02;1786.036;0.002
1995-06-15 08:42:34;1786.039;0.000
1995-06-25 06:41:07;1786.093;0.002
1995-07-05 04:39:38;1786.168;0.005
1995-07-15 02:38:10;1786.192;0.026
1995-08-03 22:35:13;1786.773;0.006
1995-09-02 16:30:47;1787.369;0.000
1995-09-12 14:29:18;1787.607;0.003
1995-09-22 12:27:50;1787.613;0.001
1995-10-02 10:26:21;1787.573;0.005
1995-10-22 06:23:25;1787.494;0.003
1995-11-01 04:21:56;1787.366;0.001
1995-11-11 02:20:28;1787.210;0.007
1995-11-21 00:18:59;1787.191;0.003
1995-12-10 20:16:01;1786.909;0.001
1995-12-20 18:14:32;1786.911;0.014
1995-12-30 16:13:03;1787.096;0.003
1996-01-09 14:11:33;1786.981;0.000
1996-01-19 12:10:05;1786.844;0.004
1996-01-29 10:08:38;1786.835;0.001
1996-02-08 08:07:10;1786.733;0.004
1996-03-09 02:02:46;1786.543;0.003
1996-03-19 00:01:17;1786.588;0.002
1996-03-28 21:59:49;1786.479;0.006
1996-04-07 19:58:21;1786.474;0.001
1996-04-17 17:56:52;1786.528;0.003
1996-04-27 15:55:24;1786.296;0.000
1996-05-07 13:53:55;1786.382;0.001
1996-05-17 11:52:27;1786.336;0.003
1996-05-27 09:50:58;1786.313;0.002
1996-06-06 07:49:30;1786.391;0.001
1996-06-16 05:48:02;1786.480;0.004
1996-06-26 03:46:33;1786.554;0.001
1996-07-06 01:45:04;1786.599;0.001
1996-07-25 21:42:06;1786.949;0.001
1996-08-14 17:39:09;1787.624;0.008
1996-08-24 15:37:40;1787.989;0.003
1996-09-03 13:36:11;1788.234;0.006
1996-09-13 11:34:43;1788.338;0.001
1996-09-23 09:33:14;1788.235;0.001
1996-10-03 07:31:46;1788.110;0.000
1996-10-13 05:30:18;1788.093;0.003
1996-10-23 03:28:50;1787.988;0.002
1996-11-02 01:27:21;1787.890;0.000
1996-11-21 21:24:23;1787.627;0.003
1996-12-01 19:22:55;1787.485;0.012
1996-12-21 15:19:58;1787.421;0.000
1996-12-31 13:18:29;1787.369;0.003
1997-01-10 11:17:01;1787.419;0.001
1997-01-20 09:15:33;1787.287;0.004
1997-01-30 07:14:05;1787.247;0.001
1997-02-09 05:12:37;1787.086;0.001
1997-02-19 03:11:08;1786.933;0.002
1997-03-01 01:09:40;1786.981;0.002
1997-03-10 23:08:12;1786.900;0.001
1997-03-20 21:06:43;1786.743;0.001
1997-03-30 19:05:15;1786.750;0.008
1997-04-09 17:03:47;1786.561;0.002
1997-04-19 15:02:18;1786.602;0.002
1997-04-29 13:00:50;1786.487;0.004
1997-05-09 10:59:22;1786.448;0.002
1997-05-19 08:57:54;1786.389;0.002
1997-05-29 06:56:26;1786.338;0.000
1997-06-18 02:53:29;1786.357;0.004
1997-07-07 22:50:31;1786.428;0.010
1997-07-17 20:49:02;1786.739;0.004
1997-07-27 18:47:33;1786.907;0.011
1997-08-16 14:44:36;1787.390;0.002
1997-08-26 12:43:08;1787.436;0.008
1997-09-05 10:41:39;1787.636;0.001
1997-09-25 06:38:43;1787.635;0.001
1997-10-05 04:37:15;1787.589;0.000
1997-10-15 02:35:46;1787.512;0.000
1997-10-25 00:34:17;1787.713;0.009
1997-11-03 22:32:48;1787.728;0.003
1997-11-13 20:31:19;1787.647;0.000
1997-11-23 18:29:51;1787.637;0.000
1997-12-03 16:28:22;1787.407;0.001
1997-12-13 14:26:53;1787.389;0.002
1997-12-23 12:25:25;1787.395;0.001
1998-01-02 10:23:56;1787.426;0.000
1998-01-12 08:22:28;1787.156;0.001
1998-01-22 06:21:00;1787.109;0.006
1998-02-01 04:19:32;1786.986;0.009
1998-02-11 02:18:04;1786.773;0.000
1998-02-21 00:16:36;1786.726;0.002
1998-03-02 22:15:07;1786.853;0.000
1998-03-12 20:13:39;1786.751;0.000
1998-03-22 18:12:11;1786.755;0.002
1998-04-21 12:07:46;1786.587;0.061
1998-05-01 10:06:17;1786.585;0.000
1998-05-11 08:04:48;1786.484;0.003
1998-05-21 06:03:20;1786.553;0.001
1998-05-31 04:01:52;1786.327;0.004
1998-06-10 02:00:23;1786.384;0.003
1998-06-19 23:58:55;1786.496;0.003
1998-06-29 21:57:26;1786.403;0.006
1998-07-09 19:55:57;1786.550;0.006
1998-07-19 17:54:29;1786.808;0.009
1998-08-08 13:51:31;1787.423;0.001
1998-08-28 09:48:34;1787.957;0.002
